"DATASET SUELO INTELIGENTE + NASA POWER — SOCONUSCO, CHIAPAS  |  3,000 lecturas  |  25 parcelas  |  2015-2024",,,,,,,,,,,,,,,,,,,,,,,,,
"ID
Parcela",Cultivo,Municipio,Año,Mes,"Num
Mes","T
Total",pH,"Humedad
%","N
ppm","P
ppm","K
ppm","CE
dS/m","Temp
°C","Aplic.
N","Aplic.
P","Aplic.
K",Encal.,Estado,"NASA
T2M °C","NASA
RH2M %","NASA
Prec
mm/día","NASA
GWET
suelo",Lat,Lon,
P004,Plátano,Tapachula,2018,Dic,12,47,5.71,51.3,35.7,16.6,189.6,1.64,25.7,0,0,0,0,Precaución,26.6,71.3,1.13,0.513,14.9,-92.27,97
P004,Plátano,Tapachula,2019,Ene,1,48,5.78,45,44.5,21.4,212.3,1.62,26.7,10,4,12,0,Precaución,27,76.7,0.49,0.45,14.9,-92.27,97
P004,Plátano,Tapachula,2019,Feb,2,49,5.83,40.5,34.6,16.6,199.1,1.57,27.1,0,0,0,0,Precaución,27.5,73.7,0,0.405,14.9,-92.27,97
P004,Plátano,Tapachula,2019,Mar,3,50,5.82,36.1,36.2,15.8,191,1.62,28.1,0,0,0,0,Precaución,27.7,69.2,0,0.361,14.9,-92.27,97
P004,Plátano,Tapachula,2019,Abr,4,51,5.76,39.1,36.3,15.4,200.1,1.57,28.4,0,0,12,0,Precaución,29.1,70.7,1.12,0.391,14.9,-92.27,97
P004,Plátano,Tapachula,2019,May,5,52,5.8,72.5,44.7,15.3,197.7,1.58,28.2,10,0,0,0,Precaución,28.4,78.1,4.99,0.725,14.9,-92.27,97
P004,Plátano,Tapachula,2019,Jun,6,53,5.75,85.3,36.8,16.2,194.9,1.58,27,0,0,0,0,Precaución,27.4,86.5,8.13,0.853,14.9,-92.27,97
P004,Plátano,Tapachula,2019,Jul,7,54,5.72,84.2,33.7,14.7,203.7,1.58,26.6,0,0,12,0,Atención,26.7,86.4,8.13,0.842,14.9,-92.27,97
P004,Plátano,Tapachula,2019,Ago,8,55,5.77,80.4,33.7,16.9,191.5,1.61,26.1,0,0,0,0,Precaución,26.8,84.7,8.17,0.804,14.9,-92.27,97
P004,Plátano,Tapachula,2019,Sep,9,56,5.72,90.9,43.1,19.9,192,1.66,26.5,10,4,0,0,Atención,26.5,88,9.87,0.909,14.9,-92.27,97
P004,Plátano,Tapachula,2019,Oct,10,57,5.64,82.8,33.2,15.9,209.8,1.61,26,0,0,12,0,Precaución,27.3,83.9,6.81,0.828,14.9,-92.27,97
P004,Plátano,Tapachula,2019,Nov,11,58,5.68,64.1,36.1,15.9,194.2,1.63,26,0,0,0,0,Precaución,27,79.7,2.76,0.641,14.9,-92.27,97
P004,Plátano,Tapachula,2019,Dic,12,59,5.75,49,35.7,15.8,194.1,1.66,26.6,0,0,0,0,Precaución,27.1,77.5,0.59,0.49,14.9,-92.27,97
P004,Plátano,Tapachula,2020,Ene,1,60,5.7,36.2,44.9,17.7,206,1.72,26,10,0,12,0,Precaución,26.8,71.3,0.11,0.362,14.9,-92.27,97
P004,Plátano,Tapachula,2020,Feb,2,61,5.64,36,36.2,17.3,196.5,1.66,26.9,0,0,0,0,Precaución,27.9,68.6,0.96,0.36,14.9,-92.27,97
P004,Plátano,Tapachula,2020,Mar,3,62,5.63,30.6,35.8,17.4,187.8,1.68,28.1,0,0,0,0,Atención,28.8,73,0.41,0.306,14.9,-92.27,97
P004,Plátano,Tapachula,2020,Abr,4,63,5.72,40.5,34.9,16.7,217.4,1.61,28.7,0,0,12,0,Precaución,28.8,72,0.12,0.405,14.9,-92.27,97
P004,Plátano,Tapachula,2020,May,5,64,5.69,70.2,42.9,20.9,190.4,1.59,28.7,10,4,0,0,Precaución,28.7,78.2,3.45,0.702,14.9,-92.27,97
P004,Plátano,Tapachula,2020,Jun,6,65,5.67,80,33.5,17.8,198,1.67,27.2,0,0,0,0,Precaución,27.2,85.5,8.49,0.8,14.9,-92.27,97
P004,Plátano,Tapachula,2020,Jul,7,66,5.7,85.6,35.5,16.4,207.7,1.65,26.7,0,0,12,0,Precaución,26.6,83.8,7.36,0.856,14.9,-92.27,97
P004,Plátano,Tapachula,2020,Ago,8,67,5.69,82.9,33.9,16.4,195.6,1.68,26.6,0,0,0,0,Precaución,26.4,87.9,7.62,0.829,14.9,-92.27,97
P004,Plátano,Tapachula,2020,Sep,9,68,5.63,88.6,43.2,15.8,191.7,1.67,26.2,10,0,0,0,Atención,26.7,88.3,8.7,0.886,14.9,-92.27,97
P004,Plátano,Tapachula,2020,Oct,10,69,5.6,84.2,33.4,16.3,204.1,1.72,26.3,0,0,12,0,Precaución,26.2,83.9,7.81,0.842,14.9,-92.27,97
P004,Plátano,Tapachula,2020,Nov,11,70,5.6,65.5,34.5,14.6,196.3,1.68,25.9,0,0,0,0,Atención,26.2,79.8,1.39,0.655,14.9,-92.27,97
P004,Plátano,Tapachula,2020,Dic,12,71,5.59,43.6,35.3,14.8,193.8,1.74,26.5,0,0,0,0,Atención,26.6,75.5,0.69,0.436,14.9,-92.27,97
P004,Plátano,Tapachula,2021,Ene,1,72,5.8,44.9,41.7,18.6,206.6,1.79,26.5,10,4,12,0.12,Precaución,26.8,75.8,0.76,0.449,14.9,-92.27,97
P004,Plátano,Tapachula,2021,Feb,2,73,5.64,37.6,32.4,16.8,195,1.72,27.1,0,0,0,0,Precaución,26.8,73.8,1.73,0.376,14.9,-92.27,97
P004,Plátano,Tapachula,2021,Mar,3,74,5.62,33.2,33.1,15.8,194.8,1.72,27.9,0,0,0,0,Atención,28.8,68.5,0,0.332,14.9,-92.27,97
P004,Plátano,Tapachula,2021,Abr,4,75,5.61,37.5,32.7,17.1,200.2,1.71,28.8,0,0,12,0,Precaución,29.6,73.1,0.08,0.375,14.9,-92.27,97
P004,Plátano,Tapachula,2021,May,5,76,5.69,69,47.4,15.9,192.9,1.7,28.3,10,0,0,0,Precaución,28.4,80.7,4.43,0.69,14.9,-92.27,97
P004,Plátano,Tapachula,2021,Jun,6,77,5.61,83,34.7,15.8,195.2,1.71,27.1,0,0,0,0,Precaución,27.6,83.4,8.94,0.83,14.9,-92.27,97
P004,Plátano,Tapachula,2021,Jul,7,78,5.56,79.4,32.7,15.9,205.3,1.81,26.8,0,0,12,0,Precaución,26.6,86.8,7.32,0.794,14.9,-92.27,97
P004,Plátano,Tapachula,2021,Ago,8,79,5.61,82.1,33.6,15.1,193.1,1.76,26.2,0,0,0,0,Precaución,26.6,84.4,7.33,0.821,14.9,-92.27,97
P004,Plátano,Tapachula,2021,Sep,9,80,5.66,85.8,42.3,19.5,193.7,1.77,26.3,10,4,0,0,Precaución,26.4,86.3,9.22,0.858,14.9,-92.27,97
P004,Plátano,Tapachula,2021,Oct,10,81,5.54,77.6,35,15.5,205.2,1.69,26.4,0,0,12,0,Precaución,26.4,83.1,6.91,0.776,14.9,-92.27,97
P004,Plátano,Tapachula,2021,Nov,11,82,5.56,64.1,33.7,15.9,193.7,1.8,25.9,0,0,0,0,Precaución,26.7,80.4,2.26,0.641,14.9,-92.27,97
P004,Plátano,Tapachula,2021,Dic,12,83,5.5,46.5,31.7,15.7,196.7,1.78,26.2,0,0,0,0,Precaución,26.1,76,1.14,0.465,14.9,-92.27,97
P004,Plátano,Tapachula,2022,Ene,1,84,5.58,45.5,41.7,13.8,210.1,1.76,26.8,10,0,12,0,Atención,26.2,73.3,0.63,0.455,14.9,-92.27,97
P004,Plátano,Tapachula,2022,Feb,2,85,5.53,34.2,35.4,15.3,192.9,1.83,27.3,0,0,0,0,Atención,26.9,72.8,0,0.342,14.9,-92.27,97
P004,Plátano,Tapachula,2022,Mar,3,86,5.55,36.5,34.9,15.2,191.3,1.73,28,0,0,0,0,Precaución,28.4,74.7,0.22,0.365,14.9,-92.27,97
P004,Plátano,Tapachula,2022,Abr,4,87,5.51,38.8,33.2,15.5,197.8,1.81,28.7,0,0,12,0,Precaución,28.9,71.6,0,0.388,14.9,-92.27,97
P004,Plátano,Tapachula,2022,May,5,88,5.54,67.7,43.3,20.5,194.8,1.78,28.3,10,4,0,0,Precaución,28.5,76.1,4.33,0.677,14.9,-92.27,97
P004,Plátano,Tapachula,2022,Jun,6,89,5.52,80.1,33.5,13.9,189.3,1.84,27.1,0,0,0,0,Atención,27.2,84.4,7.6,0.801,14.9,-92.27,97
P004,Plátano,Tapachula,2022,Jul,7,90,5.51,78.4,33.9,15.2,208.9,1.89,26.7,0,0,12,0,Precaución,27.5,86.2,6.89,0.784,14.9,-92.27,97
P004,Plátano,Tapachula,2022,Ago,8,91,5.56,84.9,33.9,14.9,195.9,1.73,26.3,0,0,0,0,Atención,26.9,88.8,7.46,0.849,14.9,-92.27,97
P004,Plátano,Tapachula,2022,Sep,9,92,5.46,83,43,15.1,196.5,1.77,26.2,10,0,0,0,Atención,26.6,84.2,9.03,0.83,14.9,-92.27,97
P004,Plátano,Tapachula,2022,Oct,10,93,5.55,82.3,34.2,15.4,202.4,1.78,26.5,0,0,12,0,Precaución,27.2,84.9,7.6,0.823,14.9,-92.27,97
P004,Plátano,Tapachula,2022,Nov,11,94,5.43,70.3,33.6,13.9,189.8,1.81,26.2,0,0,0,0,Atención,26.8,78.8,2.3,0.703,14.9,-92.27,97
P004,Plátano,Tapachula,2022,Dic,12,95,5.46,51.5,33.6,15,198.5,1.8,26.5,0,0,0,0,Atención,26.9,74.2,1,0.515,14.9,-92.27,97
P004,Plátano,Tapachula,2023,Ene,1,96,5.48,41.2,42.1,19.1,194.3,1.84,26.5,10,4,12,0,Atención,26.7,73.8,0.39,0.412,14.9,-92.27,97
P004,Plátano,Tapachula,2023,Feb,2,97,5.41,36,33.2,16.4,200.7,1.8,26.9,0,0,0,0,Atención,27,70.3,0.45,0.36,14.9,-92.27,97
P004,Plátano,Tapachula,2023,Mar,3,98,5.53,37.9,32.3,15.3,190.6,1.88,28.3,0,0,0,0,Precaución,28.4,68.8,0.35,0.379,14.9,-92.27,97
P004,Plátano,Tapachula,2023,Abr,4,99,5.43,37.6,31.5,14.9,211.2,1.84,28.5,0,0,12,0,Atención,29.3,75.7,0.37,0.376,14.9,-92.27,97
P004,Plátano,Tapachula,2023,May,5,100,5.5,62.4,45,14.3,189,1.84,28.5,10,0,0,0,Atención,28.5,80.7,3.53,0.624,14.9,-92.27,97
P004,Plátano,Tapachula,2023,Jun,6,101,5.42,82.9,32.6,15,197.2,1.85,27,0,0,0,0,Atención,27.6,83.6,7.52,0.829,14.9,-92.27,97
P004,Plátano,Tapachula,2023,Jul,7,102,5.45,83.2,31.6,15.3,211.2,1.83,26.6,0,0,12,0,Atención,26.7,83.9,7.68,0.832,14.9,-92.27,97
P004,Plátano,Tapachula,2023,Ago,8,103,5.44,89.9,32.4,15.5,194.8,1.87,26.7,0,0,0,0,Atención,26.6,84.8,7.59,0.899,14.9,-92.27,97
P004,Plátano,Tapachula,2023,Sep,9,104,5.45,81,43.3,19,195.9,1.84,26.7,10,4,0,0,Atención,26.9,87.5,9.34,0.81,14.9,-92.27,97
P004,Plátano,Tapachula,2023,Oct,10,105,5.42,82,32.3,14.1,205.2,1.86,27,0,0,12,0,Atención,26.5,87.4,7.78,0.82,14.9,-92.27,97
P004,Plátano,Tapachula,2023,Nov,11,106,5.43,66,32.6,15.1,191.4,1.89,26,0,0,0,0,Atención,26.9,80,1.77,0.66,14.9,-92.27,97
P004,Plátano,Tapachula,2023,Dic,12,107,5.44,53.6,34.2,14.7,190.7,1.86,26.2,0,0,0,0,Atención,26.7,79.2,0.46,0.536,14.9,-92.27,97
P004,Plátano,Tapachula,2024,Ene,1,108,5.5,36.4,41.8,14.4,211,1.91,26.3,10,0,12,0.12,Atención,26.5,75.4,1.25,0.364,14.9,-92.27,97
P004,Plátano,Tapachula,2024,Feb,2,109,5.37,41.1,33.4,14,188.6,1.91,27.4,0,0,0,0,Atención,27.3,72.5,1.16,0.411,14.9,-92.27,97
P004,Plátano,Tapachula,2024,Mar,3,110,5.4,31.7,33.3,14.9,189.9,1.84,28.3,0,0,0,0,Crítico,28.4,73.2,0.22,0.317,14.9,-92.27,97
P004,Plátano,Tapachula,2024,Abr,4,111,5.4,39.5,32.2,15.5,208.4,1.89,29,0,0,12,0,Atención,29.3,69.4,0.39,0.395,14.9,-92.27,97
P004,Plátano,Tapachula,2024,May,5,112,5.39,66.3,41.5,19.1,197.7,1.94,28.8,10,4,0,0,Atención,28.5,81.6,4.19,0.663,14.9,-92.27,97
P004,Plátano,Tapachula,2024,Jun,6,113,5.33,83.5,31.7,15.2,190,1.96,27.2,0,0,0,0,Atención,27.7,85.1,8.06,0.835,14.9,-92.27,97
P004,Plátano,Tapachula,2024,Jul,7,114,5.36,79,31.8,15,207.3,1.97,27,0,0,12,0,Atención,26.9,88.2,7.9,0.79,14.9,-92.27,97
P004,Plátano,Tapachula,2024,Ago,8,115,5.44,84.3,30.9,14.6,193.6,1.91,26.1,0,0,0,0,Atención,26.8,84,8.24,0.843,14.9,-92.27,97
P004,Plátano,Tapachula,2024,Sep,9,116,5.32,89.5,44.9,16.7,199.9,1.89,26.6,10,0,0,0,Atención,26.3,86.5,9.76,0.895,14.9,-92.27,97
P004,Plátano,Tapachula,2024,Oct,10,117,5.35,83.1,33.7,13.8,197.8,1.87,26.5,0,0,12,0,Atención,26.3,85.7,7.01,0.831,14.9,-92.27,97
P004,Plátano,Tapachula,2024,Nov,11,118,5.34,62.5,32.3,14.8,192.7,1.96,26.2,0,0,0,0,Atención,26.4,78.7,1.75,0.625,14.9,-92.27,97
P004,Plátano,Tapachula,2024,Dic,12,119,5.29,43.7,33.3,15,193.1,1.9,26.3,0,0,0,0,Atención,26.5,79.1,0,0.437,14.9,-92.27,97
P005,Palma,Tapachula,2015,Ene,1,0,5.86,43.1,28.5,12.8,123.2,1.55,26.4,0,0,0,0,Atención,26.7,77.6,0.85,0.431,14.9,-92.27,97
P005,Palma,Tapachula,2015,Feb,2,1,5.83,37.6,28.7,15.1,119,1.62,27,0,0,0,0,Precaución,27.2,69.8,0.13,0.376,14.9,-92.27,97
P005,Palma,Tapachula,2015,Mar,3,2,5.85,37.3,28.9,13.8,120.7,1.61,27.9,0,0,0,0,Atención,28.5,69,0,0.373,14.9,-92.27,97
P005,Palma,Tapachula,2015,Abr,4,3,5.79,36.8,24.6,13.2,136,1.58,28.2,0,0,0,0,Atención,28.5,69,0.17,0.368,14.9,-92.27,97
P005,Palma,Tapachula,2015,May,5,4,5.91,61.8,26,15.6,128.1,1.67,27.9,0,0,0,0,Precaución,28.2,78.2,4.13,0.618,14.9,-92.27,97
P005,Palma,Tapachula,2015,Jun,6,5,5.91,83.3,27.4,13.7,123.6,1.59,26.8,0,0,0,0,Atención,27.3,87.3,8.47,0.833,14.9,-92.27,97
P005,Palma,Tapachula,2015,Jul,7,6,5.83,85.9,31.8,13,132.5,1.64,26.6,5,0,7,0,Atención,26.2,86.4,7.92,0.859,14.9,-92.27,97
P005,Palma,Tapachula,2015,Ago,8,7,5.91,84.4,28.7,15.3,124.3,1.62,26.1,0,0,0,0,Precaución,26.6,83,7.09,0.844,14.9,-92.27,97
P005,Palma,Tapachula,2015,Sep,9,8,5.89,88,26.3,14,125.9,1.65,26.5,0,0,0,0,Atención,26.7,86.6,9.71,0.88,14.9,-92.27,97
P005,Palma,Tapachula,2015,Oct,10,9,5.77,82.2,26.3,13.7,128.8,1.6,26.2,0,0,0,0,Atención,26.2,85.5,6.67,0.822,14.9,-92.27,97
P005,Palma,Tapachula,2015,Nov,11,10,5.77,60.9,27.8,14.2,124.9,1.64,26.3,0,0,0,0,Atención,26.2,83.9,2,0.609,14.9,-92.27,97
P005,Palma,Tapachula,2015,Dic,12,11,5.74,48.3,27.6,15.8,122.5,1.67,26.1,0,0,0,0,Precaución,25.8,73.5,1.12,0.483,14.9,-92.27,97
P005,Palma,Tapachula,2016,Ene,1,12,5.77,44.4,31.7,17.7,132.7,1.71,26,5,3,7,0,Precaución,26.9,70.3,1.01,0.444,14.9,-92.27,97
P005,Palma,Tapachula,2016,Feb,2,13,5.77,37.4,27.1,12.9,125.3,1.61,26.9,0,0,0,0,Atención,27.1,74.8,0.58,0.374,14.9,-92.27,97
P005,Palma,Tapachula,2016,Mar,3,14,5.82,33.6,29.2,14,120.4,1.55,27.9,0,0,0,0,Atención,28.7,71.7,0,0.336,14.9,-92.27,97
P005,Palma,Tapachula,2016,Abr,4,15,5.82,42.5,25.2,13.4,121.6,1.62,28.5,0,0,0,0,Atención,29,68.9,0.5,0.425,14.9,-92.27,97
P005,Palma,Tapachula,2016,May,5,16,5.77,72.5,27.1,15,121.4,1.64,28.3,0,0,0,0,Precaución,28.7,79.6,3.37,0.725,14.9,-92.27,97
P005,Palma,Tapachula,2016,Jun,6,17,5.82,86.4,26.6,15.2,128.1,1.63,26.6,0,0,0,0,Precaución,27.5,86.3,8.2,0.864,14.9,-92.27,97
P005,Palma,Tapachula,2016,Jul,7,18,5.72,87.2,32.4,14,133.4,1.72,26.8,5,0,7,0,Atención,26.9,86.2,6.95,0.872,14.9,-92.27,97
P005,Palma,Tapachula,2016,Ago,8,19,5.79,87.4,28.6,12.1,121.1,1.7,26.5,0,0,0,0,Atención,26.7,86.2,7.84,0.874,14.9,-92.27,97
P005,Palma,Tapachula,2016,Sep,9,20,5.71,87.1,28.4,12.6,128.1,1.69,26.2,0,0,0,0,Atención,26.2,88.1,8.89,0.871,14.9,-92.27,97
P005,Palma,Tapachula,2016,Oct,10,21,5.75,85.4,27.5,11.8,128.1,1.63,26.1,0,0,0,0,Atención,26.5,84.9,7.52,0.854,14.9,-92.27,97
P005,Palma,Tapachula,2016,Nov,11,22,5.68,64.1,26.2,13,122.1,1.7,25.9,0,0,0,0,Atención,26.8,84.1,2.17,0.641,14.9,-92.27,97
P005,Palma,Tapachula,2016,Dic,12,23,5.75,49.6,24.9,13.8,120.7,1.63,26.2,0,0,0,0,Atención,26.3,76,0.35,0.496,14.9,-92.27,97
P005,Palma,Tapachula,2017,Ene,1,24,5.79,43.2,30.8,17.5,136,1.64,26.1,5,3,7,0,Precaución,26.5,73.8,0.59,0.432,14.9,-92.27,97
P005,Palma,Tapachula,2017,Feb,2,25,5.81,43,27.2,13.8,129.5,1.64,26.9,0,0,0,0,Atención,26.8,74,0.61,0.43,14.9,-92.27,97
P005,Palma,Tapachula,2017,Mar,3,26,5.71,30.8,28.1,13.5,118.7,1.7,28.2,0,0,0,0,Atención,28.3,68.1,0.23,0.308,14.9,-92.27,97
P005,Palma,Tapachula,2017,Abr,4,27,5.71,42.5,28.2,13.7,125.4,1.64,28.9,0,0,0,0,Atención,29,73.1,2.01,0.425,14.9,-92.27,97
P005,Palma,Tapachula,2017,May,5,28,5.74,66.8,26.4,14.7,129.3,1.7,27.7,0,0,0,0,Atención,28.5,80.9,4.06,0.668,14.9,-92.27,97
P005,Palma,Tapachula,2017,Jun,6,29,5.76,88.1,26.9,14.3,118.2,1.7,27.1,0,0,0,0,Atención,27.3,86.4,8.48,0.881,14.9,-92.27,97
P005,Palma,Tapachula,2017,Jul,7,30,5.64,84.4,32,14.2,127.1,1.71,26.3,5,0,7,0,Atención,27,87.5,6.95,0.844,14.9,-92.27,97
P005,Palma,Tapachula,2017,Ago,8,31,5.75,83.3,27.3,11.9,114.2,1.72,26.3,0,0,0,0,Atención,27,85.6,7.25,0.833,14.9,-92.27,97
P005,Palma,Tapachula,2017,Sep,9,32,5.8,94.3,27.1,13.7,124.2,1.7,26.1,0,0,0,0,Atención,26.3,85.2,9.42,0.943,14.9,-92.27,97
P005,Palma,Tapachula,2017,Oct,10,33,5.73,79.9,28.3,13.2,118,1.75,26.4,0,0,0,0,Atención,26.3,87.2,7.64,0.799,14.9,-92.27,97
P005,Palma,Tapachula,2017,Nov,11,34,5.67,66.7,28.6,12.9,134.9,1.74,26.2,0,0,0,0,Atención,26.1,82.6,2.07,0.667,14.9,-92.27,97
P005,Palma,Tapachula,2017,Dic,12,35,5.75,49,26.8,13.7,124.6,1.71,26.3,0,0,0,0,Atención,26.6,76.6,0.7,0.49,14.9,-92.27,97
P005,Palma,Tapachula,2018,Ene,1,36,5.71,46.7,33.6,16.4,135.3,1.72,26.3,5,3,7,0,Precaución,26.4,72,0,0.467,14.9,-92.27,97
P005,Palma,Tapachula,2018,Feb,2,37,5.75,37.7,26.8,12.8,122.4,1.72,26.9,0,0,0,0,Atención,27.6,68.4,0,0.377,14.9,-92.27,97
P005,Palma,Tapachula,2018,Mar,3,38,5.72,39.6,24.2,13.3,125.4,1.74,27.9,0,0,0,0,Atención,28.3,71.5,0.27,0.396,14.9,-92.27,97
P005,Palma,Tapachula,2018,Abr,4,39,5.71,38.8,26.7,13.7,120.6,1.75,28.6,0,0,0,0,Atención,29.2,68.8,1.03,0.388,14.9,-92.27,97
P005,Palma,Tapachula,2018,May,5,40,5.67,70.8,28.5,13.4,124.1,1.69,28.8,0,0,0,0,Atención,28.2,82.8,4.04,0.708,14.9,-92.27,97
P005,Palma,Tapachula,2018,Jun,6,41,5.62,85.9,24.8,14.7,127.8,1.76,27.2,0,0,0,0,Atención,27.1,84.8,7.84,0.859,14.9,-92.27,97
P005,Palma,Tapachula,2018,Jul,7,42,5.66,82.8,31.4,12.8,127.9,1.71,26.5,5,0,7,0,Atención,26.4,87.1,6.46,0.828,14.9,-92.27,97
P005,Palma,Tapachula,2018,Ago,8,43,5.68,85.4,27.5,12.3,124.7,1.74,26.5,0,0,0,0,Atención,26.3,85.4,7.3,0.854,14.9,-92.27,97
P005,Palma,Tapachula,2018,Sep,9,44,5.62,89.1,26,12.9,132.7,1.8,26.2,0,0,0,0,Atención,26.8,88.1,9.57,0.891,14.9,-92.27,97
P005,Palma,Tapachula,2018,Oct,10,45,5.67,85.7,26.4,13.6,118.1,1.7,26.3,0,0,0,0,Atención,26.8,82.1,8.47,0.857,14.9,-92.27,97
P005,Palma,Tapachula,2018,Nov,11,46,5.58,65.2,27.1,14,121.7,1.76,26,0,0,0,0,Atención,25.9,82.8,2.05,0.652,14.9,-92.27,97
P005,Palma,Tapachula,2018,Dic,12,47,5.63,52.1,24.9,12.6,121.4,1.78,26.3,0,0,0,0,Atención,26.6,79,0.45,0.521,14.9,-92.27,97
P005,Palma,Tapachula,2019,Ene,1,48,5.78,41.8,29.1,15.9,131.2,1.77,26.5,5,3,7,0.1,Precaución,27.1,75.7,0.8,0.418,14.9,-92.27,97
P005,Palma,Tapachula,2019,Feb,2,49,5.6,36.8,25.7,13,125.3,1.8,27,0,0,0,0,Atención,27,70.4,1.27,0.368,14.9,-92.27,97
P005,Palma,Tapachula,2019,Mar,3,50,5.67,32.4,26.8,12.8,122.6,1.77,28.4,0,0,0,0,Atención,28.1,72.8,0.86,0.324,14.9,-92.27,97
P005,Palma,Tapachula,2019,Abr,4,51,5.62,41.1,27.3,13.9,113.8,1.76,28.9,0,0,0,0,Atención,29.3,72.8,1.28,0.411,14.9,-92.27,97
P005,Palma,Tapachula,2019,May,5,52,5.64,69.9,27.9,14,120.8,1.83,28.6,0,0,0,0,Atención,28.8,76,4.22,0.699,14.9,-92.27,97
P005,Palma,Tapachula,2019,Jun,6,53,5.63,90.6,26.4,14.2,120.2,1.84,27.1,0,0,0,0,Atención,27.7,83.6,8.18,0.906,14.9,-92.27,97
P005,Palma,Tapachula,2019,Jul,7,54,5.66,85,33.2,13.1,135.4,1.78,26.4,5,0,7,0,Atención,27.3,87,7.72,0.85,14.9,-92.27,97
P005,Palma,Tapachula,2019,Ago,8,55,5.64,84.7,26.7,12.6,124.8,1.8,26.5,0,0,0,0,Atención,26.7,86.8,7.68,0.847,14.9,-92.27,97
P005,Palma,Tapachula,2019,Sep,9,56,5.61,84.4,26.9,13.8,128.3,1.77,26.1,0,0,0,0,Atención,26.7,86.6,9.42,0.844,14.9,-92.27,97
P005,Palma,Tapachula,2019,Oct,10,57,5.57,84.3,26,12.1,127.2,1.76,26.3,0,0,0,0,Atención,26.9,88.4,8.22,0.843,14.9,-92.27,97
P005,Palma,Tapachula,2019,Nov,11,58,5.66,66.6,26.5,11.9,119.3,1.81,26.4,0,0,0,0,Atención,26.5,84.4,2.51,0.666,14.9,-92.27,97
P005,Palma,Tapachula,2019,Dic,12,59,5.59,49.2,25.9,13.2,128.8,1.8,26.4,0,0,0,0,Atención,26.3,80.2,0.72,0.492,14.9,-92.27,97
P005,Palma,Tapachula,2020,Ene,1,60,5.63,45.3,32.2,14.9,125.5,1.85,26.5,5,3,7,0,Atención,26.7,74.4,0.77,0.453,14.9,-92.27,97
P005,Palma,Tapachula,2020,Feb,2,61,5.58,34.1,24.6,14.1,124.8,1.82,26.9,0,0,0,0,Atención,27.2,72.8,0.39,0.341,14.9,-92.27,97
P005,Palma,Tapachula,2020,Mar,3,62,5.64,33.5,26.6,13.4,121.9,1.81,28.5,0,0,0,0,Atención,28.8,70.2,0.07,0.335,14.9,-92.27,97
P005,Palma,Tapachula,2020,Abr,4,63,5.64,40.1,27,11.3,121.7,1.75,28.7,0,0,0,0,Atención,29.5,70,0.26,0.401,14.9,-92.27,97
P005,Palma,Tapachula,2020,May,5,64,5.63,72.3,26,13.3,119.1,1.82,28.3,0,0,0,0,Atención,29,82.6,3.79,0.723,14.9,-92.27,97
P005,Palma,Tapachula,2020,Jun,6,65,5.55,83.3,27.5,12.9,121,1.82,26.8,0,0,0,0,Atención,27.5,82.9,8.01,0.833,14.9,-92.27,97
P005,Palma,Tapachula,2020,Jul,7,66,5.6,85.7,32.2,14.1,133.3,1.85,26.9,5,0,7,0,Atención,27.4,84.3,8.2,0.857,14.9,-92.27,97
P005,Palma,Tapachula,2020,Ago,8,67,5.65,82.6,25.3,13.8,127.5,1.9,26.7,0,0,0,0,Atención,26.8,87.4,7.57,0.826,14.9,-92.27,97
P005,Palma,Tapachula,2020,Sep,9,68,5.56,95.2,24,13.3,120.3,1.87,26.2,0,0,0,0,Atención,26.5,89.5,9.31,0.952,14.9,-92.27,97
P005,Palma,Tapachula,2020,Oct,10,69,5.57,79.3,25.5,13.7,128.1,1.86,26,0,0,0,0,Atención,26.5,84.1,7.93,0.793,14.9,-92.27,97
P005,Palma,Tapachula,2020,Nov,11,70,5.61,62.7,24.6,12.4,122.1,1.86,25.8,0,0,0,0,Atención,26.3,83.7,2.56,0.627,14.9,-92.27,97
P005,Palma,Tapachula,2020,Dic,12,71,5.57,46.5,26.2,13.5,125.2,1.83,26.1,0,0,0,0,Atención,27.3,75.7,1.17,0.465,14.9,-92.27,97
P005,Palma,Tapachula,2021,Ene,1,72,5.61,42.5,30.2,18.2,127.2,1.93,26.5,5,3,7,0,Precaución,25.8,73.4,0.74,0.425,14.9,-92.27,97
P005,Palma,Tapachula,2021,Feb,2,73,5.59,36.8,26.1,12.3,124,1.85,26.7,0,0,0,0,Atención,27.4,75.4,0.16,0.368,14.9,-92.27,97
P005,Palma,Tapachula,2021,Mar,3,74,5.49,35,27.2,12.7,129.7,1.89,27.7,0,0,0,0,Atención,28.6,72.3,0.03,0.35,14.9,-92.27,97
P005,Palma,Tapachula,2021,Abr,4,75,5.52,36.4,23.2,14.8,123.2,1.89,28.8,0,0,0,0,Atención,28.8,74.7,0.45,0.364,14.9,-92.27,97
P005,Palma,Tapachula,2021,May,5,76,5.48,65.9,26,13.1,120.5,1.78,28.2,0,0,0,0,Atención,28.8,80.4,3.94,0.659,14.9,-92.27,97
P005,Palma,Tapachula,2021,Jun,6,77,5.47,81.7,26.9,14,125.3,1.9,26.9,0,0,0,0,Atención,27.3,84.6,8.26,0.817,14.9,-92.27,97
P005,Palma,Tapachula,2021,Jul,7,78,5.51,80.9,30.2,14.6,133.6,1.88,26.2,5,0,7,0,Atención,26.7,86.1,7.4,0.809,14.9,-92.27,97
